AgeCourseStart,Quiz1Norm,Quiz2Norm,HW1Norm,MTNorm,TGNorm,AGE_ADMITTED,Reg_Hrs,HS_GPA,MATH,PHYS,Repeated_Grade_ITBP119_CSBP119,ITBP119_CSBP119_max,Repeated_Grade_ITBP219_CSBP219,ESPN,CSBP121,MATH105,CENG205,PHYS105,CENG202,CIT,AcademicStanding,Citizenship,Gender,Sponsor,Resident_in_city
19.2,0.73,0.73,0.75,0.8,0.76,18,13,0.873,0.812,0.812,0,0.77,0,0.7,0.84,0.67,0.7,0.8,0.8,1,1,1,0,0,0
18.98,0.67,0.2,0.65,0.75,0.84,18,13,0.922,0.812,0.812,0,0.7,0,0.7,0.84,0.6,0.67,0.6,0.67,1,1,1,1,0,1
19.31,0.6,0.65,0.75,0.68,0.62,16,12,0.83,0.85,0.81,2,0.77,2,0.7,0.64,0.6,0.84,0.6,0.676,1,0,1,0,1,0
19.59,1,0.2,0.75,0.93,0.84,17,13,0.857,0.82,0.81,0,0.9,0,0.84,0.9,0.67,0.77,0.84,0.77,1,1,1,0,1,0
19.17,0.42,0.63,0.9,0.5,0.6,18,13,0.934,0.81,0.81,0,0.77,0,0.77,0.7,0.67,0.77,0.84,0.9,1,1,1,1,0,1
19.77,0.53,0.65,0.75,0.98,0.76,18,13,0.837,0.81,0.81,0,0.87,0,0.87,0.87,0.74,0.9,0.74,0.77,1,1,1,0,0,0
22.24,0.53,0.6,0.6,0.7,0.75,18,15,0.899,0.869,0.808,0,0.8,0,0.9,0.868,0.9,0.9,0.77,0.87,0,1,0,1,0,1
19.24,0.56,0.87,0.65,0.63,0.65,18,14,0.93,0.976,0.803,0,0.7,0,0.64,0.6,0.9,0.9,0.8,0.77,1,1,1,1,0,0
19.01,0.47,0.85,0.95,0.65,0.71,17,13,0.904,0.8,0.803,0,0.64,0,0.77,0.7,0.7,0.87,0.74,0.7,1,1,1,0,1,1
19.23,0.4,0.7,1,0.78,0.72,17,13,0.8963,0.67,0.803,0,0.6,0,0.84,0.9,0.6,0.87,0.6,0.74,1,1,1,1,0,1
19.89,0.92,0.8,0,0.53,0.54,17,13,0.89,0.867,0.802,2,0.74,0,0.74,0.6,0.84,0.77,0.8,0.74,1,1,1,1,0,0
19.96,0.53,0.6,0.4,0.73,0.82,18,13,0.861,0.766,0.802,0,0.77,0,0.9,0.77,0.84,0.64,0.64,0.84,1,1,1,1,0,1
20.24,0.8,0.83,1,0.38,0.64,17,15,0.868,0.89,0.8,0,0.6,0,0.87,0.776,0.87,0.6,0.84,0.7,0,1,1,1,0,0
18.89,0.67,0.27,1,0.53,0.72,18,13,0.912,0.856,0.8,0,0.77,0,0.8,0.87,0.74,0.84,0.67,0.8,1,1,1,0,1,0
18.24,0.69,0.67,0.76,0.78,0.71,17,13,0.831,0.79,0.8,0,0.84,0,0.9,0.67,0.6,0.7,0.67,0.9,1,1,1,1,0,0
18.55,1,0.6,1,0.74,0.74,17,16,0.823,0.76,0.8,0,0.9,0,0.87,0.9,0.6,0.9,0.6,0.87,1,1,1,1,0,1
20.56,0,0.5,0,0.77,0.44,18,13,0.8,0.7,0.8,0,0.77,2,0.84,0.7,0.9,0.87,0.64,0.77,1,0,1,0,0,1
19.89,0.63,0.07,1,0.53,0.67,17,13,0.871,0.802,0.798,2,0.9,0,0.8,0.9,0.73,0.8,0.62,0.8,1,0,1,1,0,0
19.18,1,0.67,1,0.68,0.78,18,14,0.906,0.742,0.796,0,0.64,2,0.6,0.6,0.6,0.9,0.6,0.8,1,1,1,0,0,0
20.27,0.53,0.6,0.5,0.55,0.6,17,13,0.868,0.872,0.791,0,0.9,0,0.6,0.7,0.71,0.84,0.7,0.8,1,1,1,1,0,0
21.94,0,0.25,1,0.68,0.39,18,13,0.789,0.82,0.791,0,0.67,3,0.6,0.67,0.84,0.7,0.67,0.696,1,1,1,0,0,0
20.95,0.93,1,1,1,1,19,13,0.869,0.845,0.79,0,0.9,0,0.84,0.9,0.87,0.9,0.75,0.9,1,1,1,0,0,1
18.02,0.13,0,0.53,0.55,0.5,17,13,0.827,0.79,0.79,2,0.8,2,0.67,0.74,0.8,0.64,0.6,0.84,1,1,1,1,0,0
17.94,0.53,0.5,0.95,0.83,0.67,17,16,0.857,0.79,0.79,0,0.67,0,0.8,0.6,0.7,0.74,0.6,0.67,1,1,0,0,0,1
19.32,0.58,0.53,0.6,0.78,0.68,18,13,0.924,0.89,0.788,0,0.87,0,0.74,0.67,0.74,0.77,0.77,0.7,1,1,1,1,0,0
18.36,0.53,0.33,0.75,0.7,0.63,17,13,0.905,0.744,0.788,0,0.7,0,0.64,0.8,0.6,0.67,0.6,0.6,1,1,1,0,0,1
19.06,0.9,0.27,0.75,0.65,0.69,17,13,0.804,0.659,0.784,0,0.77,0,0.7,0.7,0.9,0.7,0.6,0.7,1,1,1,0,0,1
18.55,0.39,0.8,0.65,0.55,0.57,17,13,0.841,0.75,0.78,2,0.74,0,0.84,0.67,0.67,0.6,0.6,0.676,1,1,1,1,0,0
20.05,0.53,0.4,0.6,0.4,0.34,18,13,0.85,0.818,0.777,0,0.6,2,0.67,0.64,0.77,0.84,0.74,0.732,1,1,1,1,0,0
19.28,0.5,0.6,0.6,0.73,0.56,18,13,0.854,0.701,0.777,0,0.67,0,0.9,0.6,0.6,0.56,0.6,0.652,1,1,1,1,0,0
19.98,0.87,0.83,0.75,0.78,0.86,18,13,0.832,0.616,0.776,0,0.9,0,0.67,0.9,0.8,0.74,0.6,0.7,1,1,1,0,0,1
18.49,0.8,0.4,0.5,0.68,0.76,17,13,0.921,0.714,0.775,0,0.8,0,0.74,0.7,0.68,0.9,0.8,0.9,1,1,1,1,0,0
20.19,0,0.2,0.65,0.45,0.6,18,13,0.863,0.816,0.774,0,0.67,0,0.7,0.64,0.77,0.77,0.7,0.77,1,1,1,1,0,0
19.13,0.61,0.87,0.75,0.75,0.74,18,13,0.921,0.907,0.773,0,0.8,0,0.74,0.74,0.7,0.87,0.77,0.84,1,1,1,1,0,0
20.6,0.47,0.5,0,0,0.11,19,16,0.809,0.803,0.772,3,0.64,2,0.64,0,0,0.74,0.276,0,1,1,1,0,0,1
